source,dataset,model_name,calibration_method,calibration_type,is_baseline,num_runs,mc_samples,file,lp_mrr_mean,lp_mrr_var,lp_mean_rank_mean,lp_mean_rank_var,lp_hits@1_mean,lp_hits@1_var,lp_hits@3_mean,lp_hits@3_var,lp_hits@10_mean,lp_hits@10_var,lp_time_mean,lp_time_var,unc_ece_mean,unc_ece_var,unc_brier_score_mean,unc_brier_score_var,unc_ace_mean,unc_ace_var,unc_time_mean,unc_time_var
single_model,FB15k-237,FB15k-237_checkpoint_label_0.95_negative_sampling_3_edge_dropout_0_epoch_2000.pth,none,baseline,True,20,5,results_lp_uncertainty/FB15k-237/FB15k-237_checkpoint_label_0.95_negative_sampling_3_edge_dropout_0_epoch_2000.pth/baseline/baseline/metrics.json,,,,,,,,,,,,,0.21363614350557328,4.182411482151219e-07,0.18307169297148712,1.872251663220903e-07,0.3668552025382746,2.119379835146378e-06,1.272865474849823,2.2272933597195546e-05
single_model,FB15k-237,FB15k-237_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0.2_epoch_1000.pth,none,baseline,True,20,5,results_lp_uncertainty/FB15k-237/FB15k-237_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0.2_epoch_1000.pth/baseline/baseline/metrics.json,,,,,,,,,,,,,0.15754360631108283,2.7850177283590175e-07,0.12470626150998768,9.90001158758604e-08,0.3440010541473906,2.5687712634633926e-06,1.2651689772501413,6.689205822292809e-05
single_model,FB15k-237,FB15k-237_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0_epoch_1500.pth,none,baseline,True,20,5,results_lp_uncertainty/FB15k-237/FB15k-237_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0_epoch_1500.pth/baseline/baseline/metrics.json,,,,,,,,,,,,,0.18926368206739425,6.143504790994943e-07,0.15328227324306015,3.3681547039648204e-07,0.30398927867961867,8.067723423132825e-07,1.2682337388502674,5.929249689816104e-05
single_model,FB15k-237,FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0.1_epoch_1000.pth,none,baseline,True,20,5,results_lp_uncertainty/FB15k-237/FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0.1_epoch_1000.pth/baseline/baseline/metrics.json,,,,,,,,,,,,,0.26894480735063553,2.689739424288044e-07,0.23699462050559594,2.451129469674535e-07,0.39851137065999026,2.9458517017357934e-06,1.2698186145506043,6.785458426237796e-05
single_model,FB15k-237,FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0.2_epoch_1000.pth,none,baseline,True,20,5,results_lp_uncertainty/FB15k-237/FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0.2_epoch_1000.pth/baseline/baseline/metrics.json,0.2550787732005119,2.126953584018721e-16,376.70827026367186,1.0195531343158921e-09,0.16397927701473236,0.0,0.28044071793556213,0.0,0.4433450698852539,0.0,25.04903429365004,0.04685495340167509,0.2538548171520233,1.4061357258448855e-07,0.2312606556284346,1.1917586029719819e-07,0.3959918706533153,1.8732574212031504e-06,0.2977099885507414,0.0018778320392808117
single_model,FB15k-237,FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0.2_epoch_1000.pth,none,baseline_mc_dropout,True,20,5,results_lp_uncertainty/FB15k-237/FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0.2_epoch_1000.pth/baseline/mc_dropout/metrics.json,0.2529448509216309,2.3448273354332328e-07,362.71341705322266,4.561973324817556,0.1625952810049057,2.652114527148647e-07,0.2784154206514359,7.399123812920482e-07,0.4397219821810722,9.521611479876146e-07,53.82983192709999,0.12489327582019193,0.25288866758346557,5.748062359563285e-07,0.2256632986540703,3.4319711900824294e-07,0.39570600186711624,2.02569395697656e-06,1.2480483245998584,0.00017186712990316063
single_model,FB15k-237,FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0.2_epoch_1000.pth,isotonic_regression,mc_dropout,False,20,5,results_lp_uncertainty/FB15k-237/FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0.2_epoch_1000.pth/isotonic_regression/mc_dropout/metrics.json,0.2007247857749462,2.715134176033944e-07,371.9170486450195,5.3518144776824075,0.10090149454772472,4.109497476714011e-07,0.21627577468752862,8.759033403956497e-07,0.37727816849946977,1.047456406081568e-06,79.86300342810064,0.0126624019100985,0.00413663350045681,4.987636656673124e-07,0.06728255851589232,6.651135633141172e-07,0.015959497578344355,5.072751522233015e-06,1.2222113291996721,1.3695097226791293e-06
single_model,FB15k-237,FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0.2_epoch_1000.pth,isotonic_regression,standard,False,20,5,results_lp_uncertainty/FB15k-237/FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0.2_epoch_1000.pth/isotonic_regression/standard/metrics.json,0.20232171043753625,9.812164280683483e-07,421.4741455078125,17.931682250962442,0.10111648589372635,1.2253193054996048e-06,0.2210092343389988,1.7133242619333568e-06,0.3817758709192276,4.879971113845802e-06,51.63388335159998,0.020141201064843378,0.004754244536161423,5.459748233332543e-07,0.07334359693452519,6.144302021865517e-07,0.01575140339352017,1.0524529958868488e-05,0.2528896315003294,4.979685211124444e-08
single_model,FB15k-237,FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0.2_epoch_1000.pth,platt_scaling,mc_dropout,False,20,5,results_lp_uncertainty/FB15k-237/FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0.2_epoch_1000.pth/platt_scaling/mc_dropout/metrics.json,0.2532741606235504,5.456884042549864e-07,375.6563690185547,3.1460687851337226,0.16232287809252738,1.3420971825223463e-06,0.2791691109538078,1.2558865508228184e-06,0.4413331851363182,8.189135006857122e-07,56.54071600249999,2.2694290930344536,0.03158169845119119,1.0095416094632877e-06,0.07368613549595666,3.686645170533881e-07,0.05697075781171899,8.270591150647322e-06,1.2221772548498848,1.1919669357538367e-06
single_model,FB15k-237,FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0.2_epoch_1000.pth,platt_scaling,standard,False,20,5,results_lp_uncertainty/FB15k-237/FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0.2_epoch_1000.pth/platt_scaling/standard/metrics.json,0.2411440208554268,9.185653583286181e-07,412.8991973876953,13.041671393331336,0.15187994688749312,1.4025568947210364e-06,0.2655562847852707,1.6466979361932266e-06,0.4261103793978691,3.0419412958034095e-06,25.16244091664994,0.004210355985782543,0.03768660072237253,1.4548829033781513e-06,0.07661492084566096,4.911596428515145e-07,0.06768429004357664,9.480481167028768e-06,0.25369677215012415,2.2069499640047688e-06
single_model,FB15k-237,FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0.2_epoch_1000.pth,scalar,mc_dropout,False,20,5,results_lp_uncertainty/FB15k-237/FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0.2_epoch_1000.pth/scalar/mc_dropout/metrics.json,0.25230310261249544,2.705416668329002e-07,379.4289978027344,3.861944672151616,0.1613981731235981,3.5750745053183954e-07,0.2779695600271225,1.2321257586235313e-06,0.44090809524059293,9.087924138702424e-07,57.04257069735013,1.4269345652071554,0.21361006423830986,3.1662666656679705e-07,0.16168868515947038,6.526108786112013e-08,0.24852382446135887,3.512968629329105e-06,1.2329598563999753,6.713341247551061e-05
single_model,FB15k-237,FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0.2_epoch_1000.pth,scalar,standard,False,20,5,results_lp_uncertainty/FB15k-237/FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0.2_epoch_1000.pth/scalar/standard/metrics.json,0.2550870478153229,0.0,376.70825042724607,5.367359048441836e-10,0.16400371491909027,0.0,0.28048959374427795,0.0,0.4433450698852539,0.0,25.181833214050037,0.02259441309823125,0.2147623620927334,2.6103946011260097e-07,0.16190785375600242,2.8176548983783458e-08,0.2473356392485191,3.655562110843943e-06,0.25989829000027387,1.7483646785874744e-06
single_model,FB15k-237,FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0_epoch_1000.pth,none,baseline,True,20,5,results_lp_uncertainty/FB15k-237/FB15k-237_checkpoint_label_1_negative_sampling_3_edge_dropout_0_epoch_1000.pth/baseline/baseline/metrics.json,,,,,,,,,,,,,0.29891831129789354,5.521044234913536e-07,0.26961652159448113,6.396042392205355e-07,0.40004534578448975,2.7442933640264873e-06,1.2674853459498991,2.9507807128136442e-05
single_model,WN18RR,WN18RR_checkpoint_label_0.95_negative_sampling_3_edge_dropout_0_epoch_6700.pth,none,baseline,True,20,5,results_lp_uncertainty/WN18RR/WN18RR_checkpoint_label_0.95_negative_sampling_3_edge_dropout_0_epoch_6700.pth/baseline/baseline/metrics.json,0.40757524967193604,0.0,4180.347094726562,8.219166805869655e-08,0.38592851161956787,0.0,0.4114550054073334,0.0,0.4479897916316986,0.0,5.4615834703001385,0.06382209048604849,0.32935435324907303,2.4121100894447522e-08,0.31340441117791973,1.907957649044523e-08,0.43955557392267386,1.4828319197001468e-05,2.013000962557271,0.008670885093389993
single_model,WN18RR,WN18RR_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0.2_epoch_1700.pth,none,baseline,True,20,5,results_lp_uncertainty/WN18RR/WN18RR_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0.2_epoch_1700.pth/baseline/baseline/metrics.json,0.4386124908924103,0.0,3854.20654296875,3.7645038805509866e-08,0.3998085558414459,0.0,0.4543714225292206,0.0,0.5122846364974976,0.0,5.417141030400126,0.04896562228389672,,,,,,,,
single_model,WN18RR,WN18RR_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0.2_epoch_1700.pth,none,baseline_mc_dropout,True,20,5,results_lp_uncertainty/WN18RR/WN18RR_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0.2_epoch_1700.pth/baseline/mc_dropout/metrics.json,0.4351729765534401,6.777605204061051e-07,3905.060754394531,2052.8163280880763,0.3953813031315804,1.5831284099771262e-06,0.4505424365401268,1.5057545551919034e-06,0.5096123158931732,1.465227449041382e-06,14.855013094899732,0.00016240980902300866,0.23264146223664284,8.646750269885274e-08,0.19956934956734773,5.0099189661501565e-08,0.39593370850438603,4.920777385134209e-06,0.2071734742496119,0.002919745163846735
single_model,WN18RR,WN18RR_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0.2_epoch_1700.pth,isotonic_regression,mc_dropout,False,20,5,results_lp_uncertainty/WN18RR/WN18RR_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0.2_epoch_1700.pth/isotonic_regression/mc_dropout/metrics.json,0.25535264015197756,4.4700496007378304e-07,3942.115197753906,1059.858448714175,0.11499680913984775,2.997045116604947e-06,0.31945596635341644,3.5963293962943136e-06,0.4797782406210899,1.291084713691373e-06,27.28949186430009,0.48458194418253353,0.01587742832489312,6.393232120042609e-06,0.10643244047605276,5.539501030502361e-07,0.05439857513060803,0.00043423276655977274,0.18929970494982626,1.7916919214490591e-06
single_model,WN18RR,WN18RR_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0.2_epoch_1700.pth,isotonic_regression,standard,False,20,5,results_lp_uncertainty/WN18RR/WN18RR_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0.2_epoch_1700.pth/isotonic_regression/standard/metrics.json,0.3712605446577072,4.033964441278664e-06,4186.448962402344,5997.252231531864,0.3155073389410973,1.0608337241486453e-05,0.3841656014323235,4.2693782013784215e-06,0.4542677074670792,4.279551031294877e-06,17.903631139849857,0.7500391550511326,0.012983425706624984,1.1956021366629564e-05,0.11036484820330436,1.5531677752162476e-06,0.04314381446142086,0.00012648949154765276,0.04103992225000184,9.174196425645264e-09
single_model,WN18RR,WN18RR_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0.2_epoch_1700.pth,platt_scaling,mc_dropout,False,20,5,results_lp_uncertainty/WN18RR/WN18RR_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0.2_epoch_1700.pth/platt_scaling/mc_dropout/metrics.json,0.43502165377140045,4.914215024617133e-07,3868.784045410156,1136.0430787078644,0.3950143590569496,7.568368458703801e-07,0.4504227787256241,2.6843057970089333e-06,0.509867575764656,1.8413923330129478e-06,15.232079300449822,0.024320559877063285,0.0296190052293241,6.750417981246383e-06,0.10755202650765698,1.1266184162935285e-06,0.047271669868229324,3.0198089868411826e-05,0.18805560290002177,2.1075227720068904e-08
single_model,WN18RR,WN18RR_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0.2_epoch_1700.pth,platt_scaling,standard,False,20,5,results_lp_uncertainty/WN18RR/WN18RR_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0.2_epoch_1700.pth/platt_scaling/standard/metrics.json,0.42913881987333297,6.695036430067571e-07,4163.254528808594,3349.232970083858,0.39031589180231097,3.1360909052313703e-06,0.4445038288831711,1.3671779652718305e-06,0.5006860211491585,3.2475607139598473e-06,5.710992804200305,0.002768831300120665,0.03167581902816892,7.570275721321113e-06,0.11170735372298535,7.099861090777829e-07,0.04684786136870013,1.7708993135819226e-05,0.04062160049998056,4.046160784456122e-08
single_model,WN18RR,WN18RR_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0.2_epoch_1700.pth,scalar,mc_dropout,False,20,5,results_lp_uncertainty/WN18RR/WN18RR_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0.2_epoch_1700.pth/scalar/mc_dropout/metrics.json,0.4351130872964859,4.5118776256645645e-07,3899.6399658203127,662.8126771707283,0.39526164531707764,7.810091753674741e-07,0.45065411627292634,1.9856206271627816e-06,0.5099313974380493,1.0311855197941392e-06,15.13694671750036,0.025487406010840857,0.1754271239042282,3.4628476401197727e-06,0.17829597638199435,4.215010829725123e-08,0.2977457371404135,1.3542929957462813e-05,0.18889467059998424,8.964209949964176e-07
single_model,WN18RR,WN18RR_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0.2_epoch_1700.pth,scalar,standard,False,20,5,results_lp_uncertainty/WN18RR/WN18RR_checkpoint_label_0.9_negative_sampling_3_edge_dropout_0.2_epoch_1700.pth/scalar/standard/metrics.json,0.4386124908924103,0.0,3854.20634765625,1.3552213969983552e-07,0.3998085558414459,0.0,0.4543714225292206,0.0,0.5122846364974976,0.0,5.4895959089500135,0.0008507579924860689,0.18153942376375198,3.267466852138599e-06,0.18056676468154373,2.4740015121280265e-08,0.31720420384346937,0.00013142478078385914,0.04027685860010024,5.794419313110377e-07
