source,dataset,calibration_method,calibration_type,is_baseline,lp_mrr_mean,lp_mean_rank_mean,lp_hits@1_mean,lp_hits@3_mean,lp_hits@10_mean,lp_time_mean,unc_ece_mean,unc_brier_score_mean,unc_ace_mean,unc_time_mean
ensemble,FB15k-237,isotonic_regression,ensemble,False,0.2342417560517788,241.29426040649415,0.12205608934164047,0.2576712667942047,0.4302746057510376,57.14830881560029,0.00423516845330596,0.056748215482477694,0.02238482431812822,1.249782383299862
ensemble,FB15k-237,none,baseline,True,0.2863735854625702,229.99716339111328,0.18767713010311127,0.31847941875457764,0.48966577649116516,32.341527573000164,0.19287133291363717,0.17095117589986292,0.39966344253200153,1.251041039750271
ensemble,FB15k-237,platt_scaling,ensemble,False,0.28637770265340806,229.99677581787108,0.18767713010311127,0.31847941875457764,0.48966577649116516,32.71537505500019,0.02312626950442791,0.058314875323297,0.05736801008416638,1.2461238991500068
ensemble,FB15k-237,scalar,ensemble,False,0.2863735660910606,229.99714736938478,0.18767713010311127,0.31847941875457764,0.48966577649116516,32.60538709515058,0.18444268628954888,0.13117501109256585,0.277362327558977,1.2479190057998495
ensemble,WN18RR,isotonic_regression,ensemble,False,0.36384886503219604,2600.2528686523438,0.25015953183174133,0.4170389175415039,0.4821314513683319,23.103919050999956,0.011958570266142488,0.08370662506714402,0.030780769398761943,0.13299872180032252
ensemble,WN18RR,none,baseline,True,0.4558732509613037,2561.535510253906,0.40970006585121155,0.472878098487854,0.5390874147415161,11.055148025949894,0.23355962261557578,0.19602046947236068,0.41366110782967686,0.1342690919499546
ensemble,WN18RR,platt_scaling,ensemble,False,0.45018208026885986,2561.543737792969,0.39071473479270935,0.4712827205657959,0.5392469763755798,11.154386167199846,0.01342719648964703,0.08455763470206931,0.055165641766858134,0.13279493575000742
ensemble,WN18RR,scalar,ensemble,False,0.4558732509613037,2561.5338500976563,0.40970006585121155,0.472878098487854,0.5390874147415161,11.126601589149868,0.20471347942948342,0.17524186752462872,0.39719975247284545,0.13183303349997005
single_model,FB15k-237,isotonic_regression,mc_dropout,False,0.2007247857749462,371.9170486450195,0.10090149454772472,0.21627577468752862,0.37727816849946977,79.86300342810064,0.00413663350045681,0.06728255851589232,0.015959497578344355,1.2222113291996721
single_model,FB15k-237,isotonic_regression,standard,False,0.20232171043753625,421.4741455078125,0.10111648589372635,0.2210092343389988,0.3817758709192276,51.63388335159998,0.004754244536161423,0.07334359693452519,0.01575140339352017,0.2528896315003294
single_model,FB15k-237,none,baseline,True,0.2550787732005119,376.70827026367186,0.16397927701473236,0.28044071793556213,0.4433450698852539,25.04903429365004,0.2303602279474338,0.19982200424217444,0.36823235374384655,1.1068803566669128
single_model,FB15k-237,none,baseline_mc_dropout,True,0.2529448509216309,362.71341705322266,0.1625952810049057,0.2784154206514359,0.4397219821810722,53.82983192709999,0.25288866758346557,0.2256632986540703,0.39570600186711624,1.2480483245998584
single_model,FB15k-237,platt_scaling,mc_dropout,False,0.2532741606235504,375.6563690185547,0.16232287809252738,0.2791691109538078,0.4413331851363182,56.54071600249999,0.03158169845119119,0.07368613549595666,0.05697075781171899,1.2221772548498848
single_model,FB15k-237,platt_scaling,standard,False,0.2411440208554268,412.8991973876953,0.15187994688749312,0.2655562847852707,0.4261103793978691,25.16244091664994,0.03768660072237253,0.07661492084566096,0.06768429004357664,0.25369677215012415
single_model,FB15k-237,scalar,mc_dropout,False,0.25230310261249544,379.4289978027344,0.1613981731235981,0.2779695600271225,0.44090809524059293,57.04257069735013,0.21361006423830986,0.16168868515947038,0.24852382446135887,1.2329598563999753
single_model,FB15k-237,scalar,standard,False,0.2550870478153229,376.70825042724607,0.16400371491909027,0.28048959374427795,0.4433450698852539,25.181833214050037,0.2147623620927334,0.16190785375600242,0.2473356392485191,0.25989829000027387
single_model,WN18RR,isotonic_regression,mc_dropout,False,0.25535264015197756,3942.115197753906,0.11499680913984775,0.31945596635341644,0.4797782406210899,27.28949186430009,0.01587742832489312,0.10643244047605276,0.05439857513060803,0.18929970494982626
single_model,WN18RR,isotonic_regression,standard,False,0.3712605446577072,4186.448962402344,0.3155073389410973,0.3841656014323235,0.4542677074670792,17.903631139849857,0.012983425706624984,0.11036484820330436,0.04314381446142086,0.04103992225000184
single_model,WN18RR,none,baseline,True,0.4077888195713361,4305.456630452474,0.38180706401666004,0.4166400780280431,0.45625931521256763,5.495226730691653,0.2999736484885216,0.2906663890381048,0.42980662848887086,1.9668316316860728
single_model,WN18RR,none,baseline_mc_dropout,True,0.4351729765534401,3905.060754394531,0.3953813031315804,0.4505424365401268,0.5096123158931732,14.855013094899732,0.23264146223664284,0.19956934956734773,0.39593370850438603,0.2071734742496119
single_model,WN18RR,platt_scaling,mc_dropout,False,0.43502165377140045,3868.784045410156,0.3950143590569496,0.4504227787256241,0.509867575764656,15.232079300449822,0.0296190052293241,0.10755202650765698,0.047271669868229324,0.18805560290002177
single_model,WN18RR,platt_scaling,standard,False,0.42913881987333297,4163.254528808594,0.39031589180231097,0.4445038288831711,0.5006860211491585,5.710992804200305,0.03167581902816892,0.11170735372298535,0.04684786136870013,0.04062160049998056
single_model,WN18RR,scalar,mc_dropout,False,0.4351130872964859,3899.6399658203127,0.39526164531707764,0.45065411627292634,0.5099313974380493,15.13694671750036,0.1754271239042282,0.17829597638199435,0.2977457371404135,0.18889467059998424
single_model,WN18RR,scalar,standard,False,0.4386124908924103,3854.20634765625,0.3998085558414459,0.4543714225292206,0.5122846364974976,5.4895959089500135,0.18153942376375198,0.18056676468154373,0.31720420384346937,0.04027685860010024
